Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7a53HqqArd4b9NF4XAmlbI,4npEfmQ6YuiwW1GpUmaq3F,Kings & Queens,Heaven & Hell,Ava Max,9/18/2020,162398,82,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-11T22:35:56Z,pop,0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,4
1SC5rEoYDGUK4NfG82494W,7jVv8c5Fj3E9VhNjxT4snq,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,9/17/2021,137704,81,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-11T22:36:06Z,lgbtq+ hip hop,0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
4fkM7M4Uo5AUASnnsRC7EZ,4npEfmQ6YuiwW1GpUmaq3F,Not Your Barbie Girl,Not Your Barbie Girl,Ava Max,8/13/2018,186520,73,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-11T22:36:17Z,pop,0.745,0.642,6,-4.138,0,0.0506,0.103,0,0.0335,0.35,120.063,4
7H6TvLL3dyoY2XtrUKp3wK,4NHQUGzhtTLFvgF5SZesLK,I like u,I like u,Tove Lo,5/31/2023,190902,62,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-12T18:59:36Z,"metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.456,0.85,0,-7.897,1,0.0853,0.00271,0.0000375,0.231,0.132,132.866,4
05e1CoIPmXLy6aPBotZlTZ,"69GGBxA162lTqCwzJG5jLp,7GwwoezwdbKvUaNgtg51pX",Self Destruction Mode,Self Destruction Mode,"The Chainsmokers,bludnymph",6/2/2023,147836,68,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-12T18:59:41Z,"electropop,pop",0.623,0.633,9,-6.15,0,0.0653,0.161,0,0.214,0.549,160.045,4
7BgYR9r202eRYKMgCtebII,5PVSEFUT4Inqu3yEq56Ku9,Teri Baaton,Storyteller,Raghav,9/6/2004,246066,51,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-15T05:40:31Z,hindi indie,0.795,0.592,11,-6.107,0,0.0964,0.0926,0.00387,0.0545,0.923,95.064,4
3qiyyUfYe7CRYLucrPmulD,67ea9eGLXYMsO2eYQRui3w,Baba O'Riley,Who's Next (Deluxe Edition),The Who,8/14/1971,300400,78,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-15T05:56:14Z,"album rock,british invasion,classic rock,hard rock,rock",0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
3k79jB4aGmMDUQzEwa46Rz,1McMsnEElThX1knmY4oliG,vampire,vampire,Olivia Rodrigo,6/30/2023,219724,94,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-06-30T22:51:36Z,pop,0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,4
6GGtHZgBycCgGBUhZo81xe,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,Say Yes To Heaven,Lana Del Rey,5/19/2023,209156,89,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-05T23:05:52Z,"art pop,pop",0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,4
6WzRpISELf3YglGAh7TXcG,"1Xyo4u8uXC1ZmMpatF05PJ,699OTQXzgjhIYAHMy9RyPD,6tbjWDEIzxoDsBA1FuhfPW",Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,Popular (Music from the HBO Original Series),"The Weeknd,Playboi Carti,Madonna",6/2/2023,215466,93,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:51:44Z,"canadian contemporary r&b,canadian pop,pop,atl hip hop,plugg,pluggnb,rage rap,rap,dance pop",0.855,0.678,1,-6.276,1,0.189,0.0569,0.0000369,0.412,0.852,99.029,4
3TBFOYhRrY2lL4lcmtvIrU,3WGpXCj9YhhfX11TToZcXP,My Sweet Lord,The Idol Episode 5 Part 2 (Music from the HBO Original Series),Troye Sivan,7/3/2023,192786,59,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:51:59Z,"australian pop,pop,viral pop",0.305,0.248,11,-11.758,0,0.0325,0.557,0.00732,0.13,0.133,122.014,4
3PXyWlD8IfEZN9c4YIJxgQ,1Xyo4u8uXC1ZmMpatF05PJ,Like A God,The Idol Episode 5 Part 1 (Music from the HBO Original Series),The Weeknd,6/30/2023,226813,63,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:11Z,"canadian contemporary r&b,canadian pop,pop",0.712,0.605,4,-8.262,0,0.0597,0.0217,0.00557,0.367,0.109,91.015,4
3Ij2iYpipfzlqMKRewFvYn,"1Xyo4u8uXC1ZmMpatF05PJ,5f7VJjfbwm532GiveGC0ZK,0KVIja3XDIh9zXkKO2FI2A","False Idols (with Lil Baby, Suzanna Son)",The Idol Episode 5 Part 1 (Music from the HBO Original Series),"The Weeknd,Lil Baby,Suzanna Son",6/30/2023,262229,61,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:18Z,"canadian contemporary r&b,canadian pop,pop,atl hip hop,atl trap,rap,trap",0.692,0.589,9,-5.359,0,0.0338,0.165,0,0.0999,0.107,119.967,4
7CyPwkp0oE8Ro9Dd5CUDjW,"1Xyo4u8uXC1ZmMpatF05PJ,250b0Wlc5Vk0CoUsaCY84M,1pBLC0qVRTB5zVMuteQ9jJ","One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),"The Weeknd,JENNIE,Lily-Rose Depp",6/23/2023,244684,85,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:25Z,"canadian contemporary r&b,canadian pop,pop,k-pop",0.522,0.641,8,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,4
5LffvExhQQFcfwqkGNpFpM,1Xyo4u8uXC1ZmMpatF05PJ,Jealous Guy,The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,6/23/2023,209655,66,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:31Z,"canadian contemporary r&b,canadian pop,pop",0.298,0.524,1,-7.589,1,0.029,0.261,0.689,0.102,0.0576,173.728,4
010ZkIVv6Ay5vqqHVCCiKB,"1Xyo4u8uXC1ZmMpatF05PJ,1pBLC0qVRTB5zVMuteQ9jJ,1se3w7gpZkwcJYgHSPDoQ8","Fill The Void (with Lily Rose Depp, Ramsey)",The Idol Episode 4 (Music from the HBO Original Series),"The Weeknd,Lily-Rose Depp,Ramsey",6/23/2023,185751,78,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:39Z,"canadian contemporary r&b,canadian pop,pop,dark pop",0.247,0.395,5,-9.082,0,0.0438,0.28,0.000223,0.171,0.11,151.962,4
2kSb3wYSOV996xA2NSmpck,1U1el3k54VvEUzo3ybLPlM,Melting,Por Vida,Kali Uchis,2/4/2015,208853,83,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:52:52Z,colombian pop,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,4
4bPsiRqWPFPgLiPQR7jNo4,1Xyo4u8uXC1ZmMpatF05PJ,A Lesser Man,The Idol Episode 3 (Music from the HBO Original Series),The Weeknd,6/19/2023,298616,71,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:53:01Z,"canadian contemporary r&b,canadian pop,pop",0.501,0.526,9,-8.512,0,0.0332,0.00909,0.00063,0.316,0.161,140.119,4
6QZePG40wT3i7bIRlmauTm,1Xyo4u8uXC1ZmMpatF05PJ,Take Me Back,The Idol Episode 3 (Music from the HBO Original Series),The Weeknd,6/19/2023,227645,64,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-08T05:53:07Z,"canadian contemporary r&b,canadian pop,pop",0.317,0.31,6,-9.235,0,0.0301,0.152,0.000144,0.235,0.0389,82.606,3
2tpWsVSb9UEmDRxAl1zhX1,5Pwc4xIPtQLFEnJriah9YJ,Counting Stars,Native,OneRepublic,1/1/2013,257265,87,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:41:07Z,"piano rock,pop",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,4
1oew3nFNY3vMacJAsvry0S,0kkxsdcaWmWU2yWAqclDh4,Me And My Broken Heart,Let The Road,Rixton,1/1/2014,193733,79,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:41:20Z,"post-teen pop,teen pop,viral pop",0.545,0.783,5,-4.261,0,0.0345,0.00489,0,0.132,0.551,174.084,4
3rKYiySCDMUKTw5kGVVhaa,"6VuMaDnrHyPL1p4EHjYLi7,6JL8zeS1NmiOftqZTRgdTz",Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,"Charlie Puth,Meghan Trainor",1/29/2016,190453,72,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:41:45Z,"pop,viral pop,hip pop",0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.815,110.015,4
3U4isOIWM3VvDubwSI3y7a,5y2Xq6xcjJb2jVM54GHK3t,All of Me,Love In The Future (Expanded Edition),John Legend,8/30/2013,269560,86,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:42:10Z,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
7BqBn9nzAq8spo5e7cZ0dJ,0du5cEVh5yTK9QJze8zA0C,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,10/5/2010,220734,85,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:42:19Z,"dance pop,pop",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
1mXVgsBdtIVeCLJnSnmtdV,2wY79sveU1sp5g7SokKOiI,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,11/3/2017,201000,86,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:42:29Z,"pop,uk pop",0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4
1iWHabUgUuuKLBa0TzTHfk,"5ZsFI1h6hIdQRw2ti0hz81,1CO6e7WRJvSFenmQO8n64C",A Whole New World (End Title) - From Aladdin,A Whole New World (End Title) [From Aladdin],"ZAYN,Zhavia",5/9/2019,242956,66,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-07-17T04:43:02Z,"pop,uk pop,post-teen pop",0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,4
